ActivityHour,TotalIntensity,AverageIntensity
10/1/2017 12:00:00 AM,2,0.033333
10/1/2017 1:00:00 AM,1,0.016667
10/1/2017 2:00:00 AM,1,0.016667
10/1/2017 3:00:00 AM,0,0
10/1/2017 4:00:00 AM,1,0.016667
10/1/2017 5:00:00 AM,0,0
10/1/2017 6:00:00 AM,0,0
10/1/2017 7:00:00 AM,0,0
10/1/2017 8:00:00 AM,0,0
10/1/2017 9:00:00 AM,10,0.166667
10/1/2017 10:00:00 AM,25,0.416667
10/1/2017 11:00:00 AM,18,0.3
10/1/2017 12:00:00 PM,79,1.316667
10/1/2017 1:00:00 PM,90,1.5
10/1/2017 2:00:00 PM,25,0.416667
10/1/2017 3:00:00 PM,4,0.066667
10/1/2017 4:00:00 PM,16,0.266667
10/1/2017 5:00:00 PM,18,0.3
10/1/2017 6:00:00 PM,22,0.366667
10/1/2017 7:00:00 PM,22,0.366667
10/1/2017 8:00:00 PM,18,0.3
10/1/2017 9:00:00 PM,18,0.3
10/1/2017 10:00:00 PM,11,0.183333
10/1/2017 11:00:00 PM,2,0.033333
10/2/2017 12:00:00 AM,1,0.016667
10/2/2017 1:00:00 AM,3,0.05
10/2/2017 2:00:00 AM,0,0
10/2/2017 3:00:00 AM,0,0
10/2/2017 4:00:00 AM,0,0
10/2/2017 5:00:00 AM,0,0
10/2/2017 6:00:00 AM,0,0
10/2/2017 7:00:00 AM,7,0.116667
10/2/2017 8:00:00 AM,37,0.616667
10/2/2017 9:00:00 AM,15,0.25
10/2/2017 10:00:00 AM,13,0.216667
10/2/2017 11:00:00 AM,10,0.166667
10/2/2017 12:00:00 PM,13,0.216667
10/2/2017 1:00:00 PM,6,0.1
10/2/2017 2:00:00 PM,42,0.7
10/2/2017 3:00:00 PM,11,0.183333
10/2/2017 4:00:00 PM,8,0.133333
10/2/2017 5:00:00 PM,4,0.066667
10/2/2017 6:00:00 PM,33,0.55
10/2/2017 7:00:00 PM,19,0.316667
10/2/2017 8:00:00 PM,3,0.05
10/2/2017 9:00:00 PM,5,0.083333
10/2/2017 10:00:00 PM,7,0.116667
10/2/2017 11:00:00 PM,5,0.083333
10/3/2017 12:00:00 AM,1,0.016667
10/3/2017 1:00:00 AM,3,0.05
10/3/2017 2:00:00 AM,1,0.016667
10/3/2017 3:00:00 AM,0,0
10/3/2017 4:00:00 AM,0,0
10/3/2017 5:00:00 AM,1,0.016667
10/3/2017 6:00:00 AM,1,0.016667
10/3/2017 7:00:00 AM,4,0.066667
10/3/2017 8:00:00 AM,14,0.233333
10/3/2017 9:00:00 AM,18,0.3
10/3/2017 10:00:00 AM,4,0.066667
10/3/2017 11:00:00 AM,13,0.216667
10/3/2017 12:00:00 PM,18,0.3
10/3/2017 1:00:00 PM,7,0.116667
10/3/2017 2:00:00 PM,11,0.183333
10/3/2017 3:00:00 PM,9,0.15
10/3/2017 4:00:00 PM,8,0.133333
10/3/2017 5:00:00 PM,17,0.283333
10/3/2017 6:00:00 PM,5,0.083333
10/3/2017 7:00:00 PM,79,1.316667
10/3/2017 8:00:00 PM,19,0.316667
10/3/2017 9:00:00 PM,41,0.683333
10/3/2017 10:00:00 PM,37,0.616667
10/3/2017 11:00:00 PM,62,1.033333
10/4/2017 12:00:00 AM,10,0.166667
10/4/2017 1:00:00 AM,0,0
10/4/2017 2:00:00 AM,0,0
10/4/2017 3:00:00 AM,1,0.016667
10/4/2017 4:00:00 AM,0,0
10/4/2017 5:00:00 AM,1,0.016667
10/4/2017 6:00:00 AM,1,0.016667
10/4/2017 7:00:00 AM,4,0.066667
10/4/2017 8:00:00 AM,18,0.3
10/4/2017 9:00:00 AM,0,0
10/4/2017 10:00:00 AM,7,0.116667
10/4/2017 11:00:00 AM,9,0.15
10/4/2017 12:00:00 PM,0,0
10/4/2017 1:00:00 PM,17,0.283333
10/4/2017 2:00:00 PM,6,0.1
10/4/2017 3:00:00 PM,11,0.183333
10/4/2017 4:00:00 PM,4,0.066667
10/4/2017 5:00:00 PM,7,0.116667
10/4/2017 6:00:00 PM,13,0.216667
10/4/2017 7:00:00 PM,44,0.733333
10/4/2017 8:00:00 PM,22,0.366667
10/4/2017 9:00:00 PM,13,0.216667
10/4/2017 10:00:00 PM,9,0.15
10/4/2017 11:00:00 PM,0,0
10/5/2017 12:00:00 AM,0,0
10/5/2017 1:00:00 AM,0,0
10/5/2017 2:00:00 AM,0,0
10/5/2017 3:00:00 AM,0,0
10/5/2017 4:00:00 AM,3,0.05
10/5/2017 5:00:00 AM,24,0.4
10/5/2017 6:00:00 AM,6,0.1
10/5/2017 7:00:00 AM,52,0.866667
10/5/2017 8:00:00 AM,6,0.1
10/5/2017 9:00:00 AM,3,0.05
10/5/2017 10:00:00 AM,21,0.35
10/5/2017 11:00:00 AM,4,0.066667
10/5/2017 12:00:00 PM,12,0.2
10/5/2017 1:00:00 PM,12,0.2
10/5/2017 2:00:00 PM,22,0.366667
10/5/2017 3:00:00 PM,11,0.183333
10/5/2017 4:00:00 PM,4,0.066667
10/5/2017 5:00:00 PM,16,0.266667
10/5/2017 6:00:00 PM,71,1.183333
10/5/2017 7:00:00 PM,7,0.116667
10/5/2017 8:00:00 PM,13,0.216667
10/5/2017 9:00:00 PM,26,0.433333
10/5/2017 10:00:00 PM,20,0.333333
10/5/2017 11:00:00 PM,7,0.116667
10/6/2017 12:00:00 AM,2,0.033333
10/6/2017 1:00:00 AM,0,0
10/6/2017 2:00:00 AM,1,0.016667
10/6/2017 3:00:00 AM,0,0
10/6/2017 4:00:00 AM,1,0.016667
10/6/2017 5:00:00 AM,0,0
10/6/2017 6:00:00 AM,3,0.05
10/6/2017 7:00:00 AM,24,0.4
10/6/2017 8:00:00 AM,8,0.133333
10/6/2017 9:00:00 AM,3,0.05
10/6/2017 10:00:00 AM,11,0.183333
10/6/2017 11:00:00 AM,14,0.233333
10/6/2017 12:00:00 PM,39,0.65
10/6/2017 1:00:00 PM,11,0.183333
10/6/2017 2:00:00 PM,8,0.133333
10/6/2017 3:00:00 PM,18,0.3
10/6/2017 4:00:00 PM,43,0.716667
10/6/2017 5:00:00 PM,12,0.2
10/6/2017 6:00:00 PM,17,0.283333
10/6/2017 7:00:00 PM,12,0.2
10/6/2017 8:00:00 PM,6,0.1
10/6/2017 9:00:00 PM,21,0.35
10/6/2017 10:00:00 PM,13,0.216667
10/6/2017 11:00:00 PM,1,0.016667
10/7/2017 12:00:00 AM,0,0
10/7/2017 1:00:00 AM,1,0.016667
10/7/2017 2:00:00 AM,0,0
10/7/2017 3:00:00 AM,1,0.016667
10/7/2017 4:00:00 AM,2,0.033333
10/7/2017 5:00:00 AM,7,0.116667
10/7/2017 6:00:00 AM,37,0.616667
10/7/2017 7:00:00 AM,20,0.333333
10/7/2017 8:00:00 AM,0,0
10/7/2017 9:00:00 AM,1,0.016667
10/7/2017 10:00:00 AM,3,0.05
10/7/2017 11:00:00 AM,21,0.35
10/7/2017 12:00:00 PM,63,1.05
10/7/2017 1:00:00 PM,92,1.533333
10/7/2017 2:00:00 PM,44,0.733333
10/7/2017 3:00:00 PM,21,0.35
10/7/2017 4:00:00 PM,17,0.283333
10/7/2017 5:00:00 PM,50,0.833333
10/7/2017 6:00:00 PM,27,0.45
10/7/2017 7:00:00 PM,21,0.35
10/7/2017 8:00:00 PM,4,0.066667
10/7/2017 9:00:00 PM,19,0.316667
10/7/2017 10:00:00 PM,9,0.15
10/7/2017 11:00:00 PM,0,0
10/8/2017 12:00:00 AM,0,0
10/8/2017 1:00:00 AM,1,0.016667
10/8/2017 2:00:00 AM,0,0
10/8/2017 3:00:00 AM,0,0
10/8/2017 4:00:00 AM,0,0
10/8/2017 5:00:00 AM,0,0
10/8/2017 6:00:00 AM,1,0.016667
10/8/2017 7:00:00 AM,12,0.2
10/8/2017 8:00:00 AM,27,0.45
10/8/2017 9:00:00 AM,16,0.266667
10/8/2017 10:00:00 AM,6,0.1
10/8/2017 11:00:00 AM,25,0.416667
10/8/2017 12:00:00 PM,41,0.683333
10/8/2017 1:00:00 PM,28,0.466667
10/8/2017 2:00:00 PM,18,0.3
10/8/2017 3:00:00 PM,85,1.416667
10/8/2017 4:00:00 PM,0,0
10/8/2017 5:00:00 PM,51,0.85
10/8/2017 6:00:00 PM,44,0.733333
10/8/2017 7:00:00 PM,15,0.25
10/8/2017 8:00:00 PM,16,0.266667
10/8/2017 9:00:00 PM,3,0.05
10/8/2017 10:00:00 PM,1,0.016667
10/8/2017 11:00:00 PM,0,0
